StockCode,AssessmentYear,AdviceDOI,AdviceViewlink,AdviceStatus,AdviceReleasedDate,AdviceApplicableFrom,AdviceApplicableUntil,AdviceValue,AdviceValueUpperRange,AdviceValueLowerRange,WantedCatch,WantedCatchUpperRange,WantedCatchLowerRange,AdviceValueUnit,AdviceSentence,AdviceBasis,AdviceType,AdviceRequester,StockCategory,TAFlink,SIDlink,ManagementPlanlink,ManagementPlanOwnership,MPevaluationLink,AdviceKey,AssessmentKey
san.sa.2r,2019,https://doi.org/10.17895/ices.advice.4721,https://asd.ices.dk/viewAdvice/1190,Advice,22/02/2019,01/01/2019,31/12/2019,0,,,,,,t,ICES advises that when the MSY approach is applied; there should be zero catch in 2019.  In order to obtain samples to assess the status of the stock in 2020; however; ICES advises a monitoring TAC in 2019. Catches should not exceed 5000 tonnes; and should have an associated sampling protocol in the fishery.,MSY,Catches,EC~NEAFC,1.2,,,,,,1190,10323
san.sa.4,2019,https://doi.org/10.17895/ices.advice.4723,https://asd.ices.dk/viewAdvice/1191,Advice,22/02/2019,01/01/2019,31/12/2019,0,,,,,,t,ICES advises that when the MSY approach is applied; there should be zero catch in 2019.  In order to obtain samples to assess the status of the stock in 2020; however; ICES advises a monitoring TAC in 2019 with catches that should not exceed 5000 tonnes and with an associated sampling protocol in the fishery.,MSY,Catches,EC~NEAFC,1,,,,,,1191,10320
san.sa.5r,2019,https://doi.org/10.17895/ices.advice.4724,https://asd.ices.dk/viewAdvice/1192,Advice,22/02/2019,01/01/2019,31/12/2020,0,,,,,,t,ICES advises that when the precautionary approach is applied; catches should not increase. This corresponds to zero catch in each of the years 2019 and 2020.,PA,Catches,EC~Norway~NEAFC,5.3,,,,,,1192,10310
san.sa.6,2019,https://doi.org/10.17895/ices.advice.4725,https://asd.ices.dk/viewAdvice/1193,Advice,22/02/2019,01/01/2019,31/12/2020,175,,,,,,t,ICES advises that when the precautionary approach is applied; catches should be no more than 175 tonnes in each of the years 2019 and 2020.,MSY,Catches,EC~NEAFC,5.2,,,,,,1193,10311
san.sa.7r,2019,https://doi.org/10.17895/ices.advice.4726,https://asd.ices.dk/viewAdvice/1194,Advice,22/02/2019,01/01/2019,31/12/2020,0,,,,,,t,ICES advises that when the precautionary approach is applied; catches should not increase. This corresponds to zero catch in each of the years 2019 and 2020.,PA,Catches,NEAFC~EC,5.3,,,,,,1194,10312
tur.27.3a,2019,https://doi.org/10.17895/ices.advice.4875,https://asd.ices.dk/viewAdvice/1195,Advice,28/06/2019,01/01/2020,31/12/2021,NA,,,,,,t,ICES has not been requested to provide advice on fishing opportunities for this stock.,NoAdv,NoAd,EC~Norway,3.2,,,,,,1195,11581
whg.27.3a,2019,https://doi.org/10.17895/ices.advice.4877,https://asd.ices.dk/viewAdvice/1196,Advice,28/06/2019,01/01/2020,31/12/2021,400,,,,,,t,Please note: This advice was updated in June 2020 (ICES; 2020).  For whiting in Division 3.a; ICES advises that when the precautionary approach is applied; catches in each of the years 2020 and 2021 should be no more than 400 tonnes.,PA,Catches,Norway~EC,5.2,,,,,,1196,11499
spr.27.67a-cf-k,2019,https://doi.org/10.17895/ices.advice.4728,https://asd.ices.dk/viewAdvice/1197,Advice,26/06/2019,01/01/2020,31/12/2021,2800,,,,,,t,ICES advises that when the precautionary approach is applied; catches should be no more than 2800 tonnes in each of the years 2020 and 2021.,PA,Catches,NEAFC~EC,5.2,,,,,,1197,10347
spr.27.7de,2019,https://doi.org/10.17895/ices.advice.4729,https://asd.ices.dk/viewAdvice/1198,Advice,26/06/2019,01/01/2020,31/12/2020,1506,,,,,,t,ICES advises that when the precautionary approach is applied; catch in 2020 should be no more than 1506 tonnes.,PA,Catches,EC~NEAFC,3.2,,,,,,1198,10351
spr.27.3a4,2019,https://doi.org/10.17895/ices.advice.4727,https://asd.ices.dk/viewAdvice/1199,Advice,12/04/2019,01/07/2019,30/06/2020,138726,,,,,,t,ICES advises that when the MSY approach is applied; catches in the period from 1 July 2019 to 30 June 2020 should be no more than 138 726 tonnes.,MSY,Catches,NEAFC~EC,1,,,,,,1199,10361
wit.27.3a47d,2019,https://doi.org/10.17895/ices.advice.4879,https://asd.ices.dk/viewAdvice/1200,Advice,01/07/2019,01/01/2020,31/12/2020,1651,,,1608,,,t,In the context of the EU multiannual plan for demersal fisheries in the North Sea; in which this stock is considered bycatch; the EC has requested that ICES provide advice based on the precautionary approach. ICES advises that catches of up to 1651 tonnes are considered to be precautionary.   ICES advises that witch should be managed using a single-species TAC covering the entire stock distribution area (i.e. ICES Division 3.a; Subarea 4; and Division 7.d).,PA,Catches,EC,1,,,http://data.europa.eu/eli/reg/2018/973/oj.,,,1200,12955
tur.27.4,2019,https://doi.org/10.17895/ices.advice.4876,https://asd.ices.dk/viewAdvice/1201,Advice,28/06/2019,01/01/2020,31/12/2020,4538,,,3902,,,t,In the context of the EU multiannual plan for demersal fisheries in the North Sea; in which this stock is considered bycatch; the EC has requested that ICES provide advice based on the precautionary approach. ICES advises that catches of up to 4538 tonnes are considered to be precautionary.  ICES advises that turbot should be managed using a single-species TAC covering an area appropriate to the relevant stock distribution (ICES Subarea 4).,PA,Catches,EC~Norway~NEAFC,1,,,http://data.europa.eu/eli/reg/2018/973/oj.,EC,,1201,11537
ple.27.420,2019,https://doi.org/10.17895/ices.advice.5644,https://asd.ices.dk/viewAdvice/1202,InitAdvice,08/11/2019,01/01/2020,31/12/2020,166499,,,89216,,,t,"Please note: The present advice replaces the advice given in June 2019 for catches in 2020.   ICES advises that when the MSY approach is applied; catches in 2020 should be no more than 166 499 tonnes. ",MSY,Catches,EC~Norway~NEAFC,1,,,http://data.europa.eu/eli/reg/2018/973/oj.,EC -  Norway,,1202,12696
ple.27.7d,2019,https://doi.org/10.17895/ices.advice.4871,https://asd.ices.dk/viewAdvice/1203,Advice,28/06/2019,01/01/2020,31/12/2020,9073,,,,,,t,ICES advises that when the EU multiannual plan (MAP) for the Western Waters is applied; catches from the Division 7.d plaice stock in 2020 that correspond to the F ranges are between 6545 tonnes and 12 029 tonnes. According to the MAP; catches higher than those corresponding to FMSY (9073 tonnes) can only be taken under conditions specified in the MAP; whilst the entire range is considered precautionary when applying the ICES advice rule.,MSY,Catches,EC~NEAFC,1,,,https://eur-lex.europa.eu/eli/reg/2019/472/oj,,,1203,11534
nep.fu.7,2019,NA - The advice link for key 10452 was not found!,https://asd.ices.dk/viewAdvice/1205,InitAdvice,28/06/2019,01/01/2020,31/12/2020,13162,,,12719,,,t,Please note: This advice was updated in November 2019 (ICES; 2019b)  ICES advises that when the EU multiannual plan (MAP) for the North Sea is applied; catches in 2020 that correspond to the F ranges in the plan are between 11 582 tonnes and 13 162 tonnes. The entire range is considered precautionary when applying the ICES advice rule.  To ensure that the stock in Functional Unit (FU) 7 is exploited sustainably; management should be implemented at the functional unit level. In recent years; the catch in FU 7 has been lower than advised; and if the difference is transferred to other FUs; this could result in non-precautionary exploitation of those FUs.,MSY,Catches,EC~Norway~NEAFC,1,,,http://data.europa.eu/eli/reg/2018/973/oj,EC,,1205,10452
nep.fu.8,2019,NA - The advice link for key 10447 was not found!,https://asd.ices.dk/viewAdvice/1206,InitAdvice,28/06/2019,01/01/2020,31/12/2020,3724,,,3397,,,t,Please note: This advice was updated in November 2019 (ICES; 2019b)  ICES advises that when the EU multiannual plan (MAP) for the North Sea is applied; catches in 2020 that correspond to the F ranges in the plan are between 2422 tonnes and 3724 tonnes. The entire range is considered precautionary when applying the ICES advice rule.  To ensure that the stock in Functional Unit 8 is exploited sustainably; management should be implemented at the functional unit level.,MSY,Catches,EC~NEAFC,1,,,http://data.europa.eu/eli/reg/2018/973/oj,EC,,1206,10447
nep.fu.9,2019,https://doi.org/10.17895/ices.advice.4868,https://asd.ices.dk/viewAdvice/1207,Advice,28/06/2019,01/01/2020,31/12/2020,1307,,,1271,,,t,ICES advises that when the EU multiannual plan (MAP) for the North Sea is applied; catches in 2020 that correspond to the F ranges in the plan are between 1008 tonnes and 1307 tonnes. The entire range is considered precautionary when applying the ICES advice rule.  To ensure that the stock in Functional Unit 9 is exploited sustainably; management should be implemented at the functional unit level.,MSY,Catches,EC~NEAFC,1,,,http://data.europa.eu/eli/reg/2018/973/oj,EC,,1207,10450
sol.27.7d,2019,https://doi.org/10.17895/ices.advice.4874,https://asd.ices.dk/viewAdvice/1208,Advice,08/11/2019,01/01/2020,31/12/2020,2846,,,,,,t,ICES advises that when the precautionary approach is applied; catches in 2020 should be no more than 2846 tonnes.,PA,Catches,EC~NEAFC,3,,,http://data.europa.eu/eli/reg/2019/472/oj.,,,1208,13195
nop.27.3a4,2019,https://doi.org/10.17895/ices.advice.4869,https://asd.ices.dk/viewAdvice/1209,Advice,09/10/2019,01/11/2019,31/10/2020,167105,,,,,,t,ICES advises that when the MSY approach is applied; catches from 1 November 2019 to 31 October 2020 should be no more than 167 105 tonnes.,MSY,Catches,EC~Norway~NEAFC,1,,,,,,1209,13166
dab.27.3a4,2019,https://doi.org/10.17895/ices.advice.5641,https://asd.ices.dk/viewAdvice/1210,Advice,08/11/2019,01/01/2020,31/12/2022,NA,,,,,,t,ICES has not been requested to provide advice on fishing opportunities for this stock.,NoAdv,NoAd,EC~NEAFC,3.2,,,http://data.europa.eu/eli/reg/2018/973/oj.,,,1210,13184
had.27.46a20,2019,https://doi.org/10.17895/ices.advice.5637,https://asd.ices.dk/viewAdvice/1211,Advice,08/11/2019,01/01/2020,31/12/2020,41818,,,25630,,,t,Please note: The present advice replaces the advice given in August 2019 for catches in 2020.   ICES advises that when the MSY approach is applied; total catches in 2020 should be no more than 41 818 tonnes.,MSY,Catches,EC,1,,,,EC -  Norway,,1211,13204
mur.27.3a47d,2019,https://doi.org/10.17895/ices.advice.4863,https://asd.ices.dk/viewAdvice/1212,Advice,28/06/2019,01/01/2020,31/12/2021,NA,,,,,,t,ICES has not been requested to provide advice on fishing opportunities for this stock.,NoAdv,NoAd,EC~NEAFC,3.2,,,https://eur-lex.europa.eu/eli/reg/2018/973/oj,EC,,1212,12936
